Protein	Term
B6A8C7	GO:0005886
Q9GZS9	GO:0005794
Q9GZS9	GO:0005802
Q9H3Q1	GO:0015630
Q9H3Q1	GO:0015629
Q9H3Q1	GO:0005886
Q9Y305	GO:0005739
Q5HYK3	GO:0005759
Q5HYK3	GO:0005743
Q9NPL8	GO:0005739
O00322	GO:0005887
O00322	GO:0070062
O00322	GO:0005886
P04141	GO:0005886
Q9P2B4	GO:0015629
Q9BXS9	GO:0005887
Q9BXS9	GO:0016323
Q9BXS9	GO:0016324
Q8NFR9	GO:0005886
O15466	GO:0000139
Q9GZY6	GO:0070062
Q9GZY6	GO:0005886
A6NND4	GO:0005886
O60499	GO:0005802
O60499	GO:0031201
O60499	GO:0032588
P09430	GO:0000786
Q5FWF7	GO:0019005
O60664	GO:0005794
P36955	GO:0070062
P36955	GO:0062023
Q6V0L0	GO:0005789
Q96I23	GO:0005789
Q9H2A9	GO:0000139
Q9H2W6	GO:0005739
Q8WUG5	GO:0005887
Q8WUG5	GO:0005886
Q13190	GO:0005794
Q13190	GO:0012507
Q13190	GO:0000139
Q13190	GO:0031201
P31941	GO:0000932
O75381	GO:0005777
Q8N9Z9	GO:0005635
P51793	GO:0055037
P51793	GO:0005887
P51793	GO:0005789
P51793	GO:0005769
P51793	GO:0008021
P00746	GO:1904813
P00746	GO:0070062
P00746	GO:0031093
O75636	GO:0009897
O75636	GO:0062023
Q96BY2	GO:0005741
P61225	GO:0035579
P61225	GO:0070821
P61225	GO:0070062
P23284	GO:0005925
P23284	GO:0070062
Q8NES3	GO:0000139
Q6UWI4	GO:0005783
P04216	GO:0005925
P04216	GO:0005783
P04216	GO:0005887
P04216	GO:0030425
P04216	GO:0070062
P04216	GO:0005886
P56537	GO:0005730
P56537	GO:0070062
Q9H0W7	GO:0005730
P20671	GO:0070062
Q96P88	GO:0005887
Q16595	GO:0005759
Q16595	GO:0005739
Q9H8S5	GO:0000307
P47900	GO:0005887
P47900	GO:0005886
Q13084	GO:0005739
P51571	GO:0005783
P51571	GO:0070062
Q16777	GO:0070062
Q08AH3	GO:0005739
O95473	GO:0030672
Q5EBM0	GO:0005739
Q6P1M0	GO:0005783
Q6P1M0	GO:0005789
O14639	GO:0030027
O14639	GO:0015629
Q9HCJ1	GO:0005887
Q9HCJ1	GO:0005886
P01850	GO:0009897
P01850	GO:0042571
P01850	GO:0005886
Q9Y6I9	GO:0031093
Q06945	GO:0005739
Q9UGC6	GO:0005886
Q3MIR4	GO:0005794
Q3MIR4	GO:0005886
Q71RC2	GO:0022627
Q71RC2	GO:0010494
Q9P0U3	GO:0031965
Q9NTJ5	GO:0005783
Q9NTJ5	GO:0005794
Q9NTJ5	GO:0005789
O94925	GO:0005759
O94925	GO:0005739
Q9UI40	GO:0005887
Q9Y6G1	GO:0005789
O15123	GO:0062023
Q8NCL8	GO:0005886
Q96JP5	GO:0005730
P57739	GO:0005886
Q96BM9	GO:0035577
Q96BM9	GO:0101003
Q96BM9	GO:0070062
Q96BM9	GO:0005886
Q9H8P0	GO:0005783
Q9H8P0	GO:0005789
P55259	GO:0070062
P55259	GO:0016324
P55259	GO:0005886
Q8TB36	GO:0005739
Q9BV40	GO:0035577
Q9BV40	GO:0035579
Q9BV40	GO:0055037
Q9BV40	GO:0031201
Q9BV40	GO:0070062
Q9BV40	GO:0005769
Q9BV40	GO:0005886
Q9BV40	GO:0031902
Q9NY59	GO:0005886
O00194	GO:0005794
O00194	GO:0070062
O00194	GO:0005886
O75078	GO:0005886
Q9BSH4	GO:0005739
Q9NPR9	GO:0005794
Q9NPR9	GO:0005802
P51582	GO:0005887
P51582	GO:0005886
Q9NPD3	GO:0005730
Q9NRP4	GO:0005758
Q6ZVF9	GO:0005886
Q7Z4N8	GO:0005783
P14866	GO:0070062
P62269	GO:0005925
P62269	GO:0014069
P62269	GO:0022626
P62269	GO:0070062
Q12907	GO:0005794
Q12907	GO:0005793
Q12907	GO:0005887
Q12907	GO:0000139
Q12907	GO:0070062
P13987	GO:0005925
P13987	GO:0012507
P13987	GO:0035579
P13987	GO:0000139
P13987	GO:0070821
P13987	GO:0033116
P13987	GO:0005789
P13987	GO:0070062
P13987	GO:0005886
Q96EL3	GO:0005739
Q9H2X8	GO:0005739
Q01628	GO:0031901
Q9Y6Y9	GO:0005886
O00330	GO:0005759
Q8NBT0	GO:0036064
Q8NBT0	GO:0005813
Q8NBT0	GO:0005814
A4D1S5	GO:0070062
Q9H6H4	GO:0005783
Q9H6H4	GO:0005789
Q9H6H4	GO:0005881
Q86SS6	GO:0005886
P16278	GO:0043202
P16278	GO:0035578
P16278	GO:1904813
P16278	GO:0070062
Q86VE9	GO:0070062
Q86VE9	GO:0005813
Q86VE9	GO:0005886
Q96M11	GO:0005813
Q96M11	GO:0005814
Q96M11	GO:0005886
Q8N682	GO:0005764
O14817	GO:0005925
O14817	GO:0005887
O14817	GO:0005886
P24752	GO:0005759
P24752	GO:0070062
P24752	GO:0005739
P02787	GO:0055037
P02787	GO:0070062
P02787	GO:0005769
P02787	GO:0016324
P02787	GO:0005886
P02787	GO:0030139
P36873	GO:0005925
P36873	GO:0005730
P36873	GO:0005739
Q9Y473	GO:0005730
P01135	GO:0012507
P01135	GO:0005789
P01135	GO:0005886
P01135	GO:0016323
Q9H2U2	GO:0005739
Q06830	GO:0070062
Q9BRA2	GO:0070062
P10909	GO:0031093
P10909	GO:0070062
P10909	GO:0005743
P10909	GO:0005739
A0A140T8X8	GO:0005886
Q5SXM8	GO:0005739
O14775	GO:0005834
Q6J4K2	GO:0005743
Q6J4K2	GO:0005886
P62877	GO:0019005
P32298	GO:0005886
Q99819	GO:0005886
O75380	GO:0005747
O75380	GO:0005743
Q9UNL4	GO:0045111
Q9HD26	GO:0005794
Q9HD26	GO:0005886
P09382	GO:0070062
Q5ZPR3	GO:0009897
P0C0S5	GO:0070062
P0C0S5	GO:0000786
Q9Y275	GO:0005925
Q9Y275	GO:0005886
Q6ZVE7	GO:0005635
Q6ZVE7	GO:0005802
P48729	GO:0005813
P48729	GO:0016607
P48426	GO:0005886
O00287	GO:0016607
P56696	GO:0008076
P56696	GO:0005886
O75298	GO:0005783
O75298	GO:0030176
P43353	GO:0070062
P43353	GO:0035579
P43353	GO:0005886
O75015	GO:0005887
O75015	GO:0070062
Q92485	GO:0070062
Q8IVN8	GO:0062023
Q99081	GO:0090575
Q99081	GO:0016607
Q6PIU1	GO:0005887
Q6PIU1	GO:0008076
Q6PIU1	GO:0005886
P08571	GO:0009897
P08571	GO:0005794
P08571	GO:0070062
P08571	GO:0005886
Q96NT5	GO:0016323
Q96NT5	GO:0005886
P27449	GO:0005925
P27449	GO:0101003
P27449	GO:0035577
P27449	GO:0000139
P27449	GO:0070821
P27449	GO:0070062
Q9NYG5	GO:0005730
P04264	GO:0070062
P04264	GO:1904813
Q9UK41	GO:0070062
Q9UK41	GO:0005886
O14910	GO:0005886
O14910	GO:0070062
Q13614	GO:0070062
Q8N1N4	GO:0070062
Q9H936	GO:0005743
Q9NYW5	GO:0005886
Q8WV44	GO:0005730
Q9GZX7	GO:0000932
Q9NXR1	GO:0005813
Q00587	GO:0005912
Q00587	GO:0005886
Q9P1Z3	GO:0030424
Q9P1Z3	GO:0030425
Q9P1Z3	GO:0005886
Q9Y3B7	GO:0005743
Q9Y3B7	GO:0005739
P35080	GO:0070062
Q16548	GO:0005741
P37023	GO:0005887
P37023	GO:0005886
O15379	GO:0005794
O15379	GO:0017053
O15379	GO:0005886
Q96QZ0	GO:0005886
A7E2U8	GO:0005881
A7E2U8	GO:0005813
P20138	GO:0005794
P20138	GO:0005887
P20138	GO:0070821
P20138	GO:0009897
P20138	GO:0005886
Q9NZL9	GO:0070062
P50914	GO:0070062
P50914	GO:0014069
P50914	GO:0022626
P41002	GO:0019005
P41002	GO:0000307
Q8TE67	GO:0005886
Q99929	GO:0090575
P07108	GO:0005794
P07108	GO:0070062
Q92629	GO:0005886
O95057	GO:0005886
Q8NG99	GO:0005886
Q9NR30	GO:0005730
Q9NR30	GO:0005694
O60749	GO:0005764
Q9UNH7	GO:0031901
Q9UNH7	GO:0005764
P67809	GO:0010494
P67809	GO:0005783
P67809	GO:0070062
P67809	GO:0005886
P19526	GO:0005794
P19526	GO:0005887
P19526	GO:0000139
Q8IV08	GO:0043202
Q8IV08	GO:0000139
Q8IV08	GO:0031901
Q8IV08	GO:0005789
Q8IV08	GO:0070062
Q8IV08	GO:0031902
P47756	GO:0070062
P47756	GO:0015629
Q8TED0	GO:0005783
Q8TED0	GO:0005730
Q8WTS6	GO:0005730
Q8WTS6	GO:0005694
Q96PC3	GO:0000139
Q96PC3	GO:0005769
Q96PC3	GO:0032588
Q9BV47	GO:0005794
Q9BV47	GO:0070062
Q6P087	GO:0005739
P60709	GO:0005925
P60709	GO:0000776
P60709	GO:0015629
P60709	GO:0005884
P60709	GO:0098978
P60709	GO:0000786
P60709	GO:0030027
P60709	GO:0070062
P60709	GO:0005886
P60709	GO:0005912
P55040	GO:0005886
Q6PJT7	GO:0016607
Q9BXV9	GO:0005730
Q6P461	GO:0005759
Q8WVX9	GO:0005777
Q99884	GO:0005887
Q99884	GO:0005886
P61026	GO:0005794
P61026	GO:0005789
P61026	GO:0070062
P61026	GO:0005886
P61026	GO:0005912
P06702	GO:0070062
P06702	GO:0062023
O94817	GO:0005776
P81605	GO:0070062
Q13643	GO:0001725
Q13643	GO:0005925
P28838	GO:0005925
P28838	GO:0070062
Q9UHE8	GO:0005887
Q9UHE8	GO:0005886
Q8WXA9	GO:0016607
Q53S58	GO:0031305
P01834	GO:0009897
P01834	GO:0070062
P01834	GO:0042571
P01834	GO:0005886
P49279	GO:0101003
P49279	GO:0005887
P49279	GO:0070821
P49279	GO:0005886
P49279	GO:0031902
Q8WY07	GO:0005886
Q13501	GO:0016605
Q13501	GO:0070062
Q13501	GO:0000932
P62312	GO:0071005
P62312	GO:0046540
Q15760	GO:0005887
Q15760	GO:0005886
P32942	GO:0005887
P32942	GO:0070062
P32942	GO:0005886
Q9Y3C0	GO:0031901
Q96MH2	GO:0016607
Q86SP6	GO:0005887
Q9H343	GO:0005886
Q8TDV5	GO:0005886
Q8N2U9	GO:0005802
P13995	GO:0005759
P13995	GO:0005739
Q96E40	GO:0005881
Q96E40	GO:0001669
Q9UIA0	GO:0000139
Q9UIA0	GO:0005886
O15079	GO:0005881
O15079	GO:0005739
P78423	GO:0005886
P40198	GO:0035579
Q9UJV9	GO:0071013
Q8N7C0	GO:0008076
A1KXE4	GO:0070062
Q8IWU4	GO:0005794
Q8IWU4	GO:0005886
O00628	GO:0005782
Q16518	GO:0005886
P30046	GO:0070062
Q9GZN7	GO:0005635
Q8TBP6	GO:0005739
P78371	GO:0035578
P78371	GO:0070062
Q969F2	GO:0016323
Q969F2	GO:0005886
P43116	GO:0005887
P43116	GO:0005886
A5D6W6	GO:0030176
P51884	GO:0005796
P51884	GO:0070062
P51884	GO:0043202
P06899	GO:0000786
P06899	GO:0005886
Q7Z6L0	GO:0005886
Q8N4C7	GO:0031201
Q8N4C7	GO:0008021
Q8N4C7	GO:0005886
Q9NY25	GO:0005887
Q9NY25	GO:0070821
Q9NY25	GO:0035579
Q9NY25	GO:0005886
Q8IZU9	GO:0005887
Q8IZU9	GO:0008021
Q8IZU9	GO:0005886
Q63HQ0	GO:0005794
Q86UW1	GO:0005789
Q86UW1	GO:0016323
Q86UW1	GO:0005886
Q03989	GO:0005730
P35222	GO:0005925
P35222	GO:0005813
P35222	GO:0070062
P35222	GO:0005886
P35222	GO:0005912
P35222	GO:0016323
O76093	GO:0005730
Q13510	GO:1904724
Q13510	GO:0043202
Q13510	GO:0005783
Q13510	GO:1904813
Q13510	GO:0070062
Q13510	GO:0005769
Q9NS68	GO:0005886
Q9H1N7	GO:0030173
Q8WYA6	GO:0005813
P56704	GO:0098978
P56704	GO:0031901
P56704	GO:0070062
P56704	GO:0005886
P56704	GO:0005796
Q9NR22	GO:0005886
P01859	GO:0009897
P01859	GO:0070062
P01859	GO:0042571
P31146	GO:0005884
P31146	GO:0030027
P31146	GO:0070062
P31146	GO:0005886
Q9ULW0	GO:0072686
Q9ULW0	GO:0015630
Q8IYB8	GO:0042645
Q8IYB8	GO:0005759
Q8IYB8	GO:0005739
Q93038	GO:0005887
Q93038	GO:0005886
Q6P582	GO:0005813
A0A0G2JMH3	GO:0005886
P16435	GO:0005789
Q05682	GO:0005886
Q9Y282	GO:0005783
Q9Y282	GO:0030176
Q9H300	GO:0005743
Q9H300	GO:0005739
Q14653	GO:0005739
Q2M2Z5	GO:0005813
P49773	GO:0070062
Q9NQR4	GO:0035580
Q9NQR4	GO:0005813
Q9NQR4	GO:0070062
Q8IXA5	GO:0001669
Q8IWD4	GO:0072686
Q15822	GO:0005887
Q15822	GO:0005886
Q8IV04	GO:0101003
Q8IV04	GO:0005886
Q53H47	GO:0005730
Q53H47	GO:0035861
Q04741	GO:0005694
P49427	GO:0016607
Q9H467	GO:0031965
P28906	GO:0005887
P28906	GO:0005886
Q9BT30	GO:0005759
Q9BT30	GO:0005739
Q99607	GO:0016605
Q9BYZ6	GO:0005886
P20618	GO:1904813
P20618	GO:0070062
P20618	GO:0000502
A1A4Y4	GO:0005794
A1A4Y4	GO:0005789
A1A4Y4	GO:0000139
A1A4Y4	GO:0005739
P28330	GO:0005759
P28330	GO:0005739
Q5TAT6	GO:0005886
Q96NY7	GO:0070062
Q96NY7	GO:0005886
Q9Y217	GO:0005635
Q99497	GO:0005783
Q99497	GO:0070062
Q99497	GO:0005912
Q99497	GO:0005739
Q99497	GO:0016605
O96015	GO:0005886
Q9P015	GO:0005743
O60476	GO:0005783
O60476	GO:0000139
O60476	GO:0070062
P35612	GO:0014069
P35612	GO:0005886
Q86Y82	GO:0005794
Q86Y82	GO:0008021
Q86Y82	GO:0031201
P22307	GO:0005782
P22307	GO:0005777
Q8IXM3	GO:0005739
Q8NBX0	GO:0031093
Q8NBX0	GO:0005739
P82979	GO:0016607
O43749	GO:0005886
Q5GFL6	GO:0070062
Q9UKY3	GO:0005783
Q9UKY3	GO:0005811
Q9H3R5	GO:0005730
Q9H3R5	GO:0000776
Q9H3R5	GO:0005694
Q5JVL4	GO:0005813
Q8TAE7	GO:0005783
Q8TAE7	GO:0008076
Q8TAE7	GO:0005886
Q9NRH3	GO:0015630
Q9NRH3	GO:0005813
O95727	GO:0005886
P78539	GO:0062023
Q96DF8	GO:0071013
Q5T6F0	GO:0005813
P31641	GO:0005887
P31641	GO:0016323
P31641	GO:0005886
Q7Z7M8	GO:0070062
Q9Y2W7	GO:0008076
Q9Y2W7	GO:0005886
Q12931	GO:0005759
Q12931	GO:0005743
Q12931	GO:0005739
P62266	GO:0005783
P62266	GO:0022627
P62266	GO:0022626
Q96AQ8	GO:0005739
Q86SG2	GO:0015629
Q5JVG8	GO:0005730
P49137	GO:0005813
P49137	GO:0070062
P34810	GO:0031902
P34810	GO:0005886
Q9BPX5	GO:0070062
Q9Y6B7	GO:0005802
Q9Y6B7	GO:0032588
O60667	GO:0005886
Q08J23	GO:0070062
Q08J23	GO:0005730
Q08J23	GO:0005739
Q86WB7	GO:0005886
Q76EJ3	GO:0000139
Q49B96	GO:0005758
Q49B96	GO:0005739
Q9Y6H8	GO:0005887
Q9P0Z9	GO:0005782
Q9UBP6	GO:0005730
O95674	GO:0005783
O95674	GO:0005743
Q7KZI7	GO:0005884
Q7KZI7	GO:0030425
Q7KZI7	GO:0005886
P24844	GO:0001725
O95866	GO:0005783
O95866	GO:0005794
Q9Y673	GO:0005789
Q9NR45	GO:0070062
Q96FW1	GO:0070062
Q9P2G3	GO:0005783
Q9P2G3	GO:0043025
Q9P2G3	GO:0015629
Q99941	GO:0005794
Q99941	GO:0090575
Q99941	GO:0005789
Q8TAI7	GO:0005886
Q8IZ57	GO:0043025
O75600	GO:0005743
O75600	GO:0005739
P43489	GO:0009897
P43489	GO:0005887
P43489	GO:0005886
A8K0Z3	GO:0055037
A8K0Z3	GO:0031901
A8K0Z3	GO:0005769
Q8TDC0	GO:0015629
Q96QK1	GO:0070062
Q96QK1	GO:0005769
Q96QK1	GO:0005739
Q641Q3	GO:0070062
E9PQ53	GO:0005747
E9PQ53	GO:0005739
Q9BXB4	GO:0005794
Q00LT1	GO:0005794
A0A5B6	GO:0005886
Q99567	GO:0005643
Q99567	GO:0005635
P04004	GO:0005783
P04004	GO:0070062
P04004	GO:0062023
O95793	GO:0005783
O95793	GO:0030425
O95793	GO:0070062
O95793	GO:0005886
O95793	GO:0043025
P05155	GO:0070062
P05155	GO:0031093
Q9H607	GO:0016324
Q96RA2	GO:0005886
A0A0C4DH29	GO:0009897
A0A0C4DH29	GO:0042571
P01906	GO:0012507
P01906	GO:0005887
P01906	GO:0000139
P01906	GO:0032588
Q8N4V1	GO:0005794
Q8N4V1	GO:0030176
Q8N4V1	GO:0005789
Q8N4V1	GO:0005769
Q8N4V1	GO:0005886
Q16555	GO:0070062
Q16555	GO:0005886
P19397	GO:0035579
P19397	GO:0005887
P19397	GO:0070821
P19397	GO:0070062
P19397	GO:0005886
O15258	GO:0005794
O15258	GO:0030173
Q96HD9	GO:0070062
P08912	GO:0005887
P08912	GO:0030425
P08912	GO:0005886
Q9Y2D2	GO:0000139
Q9H095	GO:0070062
Q95460	GO:0005783
Q95460	GO:0031901
Q95460	GO:0009897
Q95460	GO:0005789
Q95460	GO:0005886
Q95460	GO:0031902
P09467	GO:0070062
Q8NFG4	GO:0005813
Q8NFG4	GO:0072686
Q8NFG4	GO:0005764
Q8NFG4	GO:0005886
P48544	GO:0008076
P48544	GO:0005886
Q9UDX4	GO:0070062
Q9UDX4	GO:0016607
Q9H7D7	GO:0005739
P42330	GO:0070062
P07225	GO:0005789
P07225	GO:0070062
P07225	GO:0005886
P07225	GO:0005796
Q6UW88	GO:0005887
Q16570	GO:0005886
Q99536	GO:0035578
Q99536	GO:0070062
Q99536	GO:0005741
Q7RTV0	GO:0071005
Q96LB3	GO:0005813
Q9BU19	GO:0005730
Q9NZW5	GO:0070062
Q9NXU5	GO:0070062
O75607	GO:0005730
O75607	GO:0015629
P49411	GO:0042645
P49411	GO:0070062
P49411	GO:0005739
Q8N3R3	GO:0005739
Q9BYD2	GO:0005743
Q9BYD2	GO:0005739
Q9BWF3	GO:0005730
Q9BWF3	GO:0016607
Q9BWF3	GO:0010494
O95391	GO:0016607
O95391	GO:0071013
Q7Z601	GO:0005886
P06280	GO:0005794
P06280	GO:0043202
P06280	GO:0035578
P06280	GO:0070062
O15127	GO:0070062
O15127	GO:0005794
O15127	GO:0032588
O15127	GO:0055038
O94760	GO:0070062
P49711	GO:0005730
Q9UGP4	GO:0005925
Q9UGP4	GO:0005886
Q9UGP4	GO:0005912
P40855	GO:0005777
Q9Y226	GO:0005794
Q9Y226	GO:0005783
Q9Y226	GO:0070062
Q9Y226	GO:0016324
Q9Y226	GO:0005886
P60510	GO:0005886
Q92882	GO:1904813
P49795	GO:0005794
P49795	GO:0005886
Q9UKR8	GO:0005887
Q99880	GO:0000786
Q99880	GO:0070062
Q5T749	GO:0070062
P30825	GO:0005887
P30825	GO:0016324
P30825	GO:0005886
Q6ZV89	GO:0014069
Q8TBQ9	GO:0005794
P62330	GO:0055038
P62330	GO:0070062
P62330	GO:0005886
P62330	GO:0030139
Q08426	GO:0005782
Q08426	GO:0005777
Q6ZS86	GO:0005739
O43819	GO:0005759
O43819	GO:0031305
O43819	GO:0005739
Q6UX72	GO:0000139
P50542	GO:0005794
P50542	GO:0005777
P98187	GO:0005789
Q9NPE2	GO:0072686
Q9NPE2	GO:0005739
P14209	GO:0005925
P14209	GO:0005887
P14209	GO:0005886
Q96PD7	GO:0005783
Q96PD7	GO:0005811
Q96PD7	GO:0005789
Q96PD7	GO:0030176
Q8IUZ5	GO:0005759
Q13618	GO:0005813
Q13618	GO:0072686
Q13618	GO:0070062
Q13618	GO:0005886
Q9Y286	GO:0005887
Q9Y286	GO:0005886
P15814	GO:0009897
P15814	GO:0042571
Q96T17	GO:0015630
Q8NA29	GO:0005887
Q8NA29	GO:0005886
P08708	GO:0005925
P08708	GO:0022627
P08708	GO:0022626
P41214	GO:0022627
Q6Q8B3	GO:0009897
