Protein	Term
O60499	GO:0032880
O60499	GO:0006906
O60499	GO:0042147
P43699	GO:0030336
P43699	GO:0000122
P43699	GO:0007420
Q5FWF7	GO:0031146
P36955	GO:0016525
Q9H2A9	GO:0007417
Q8WUG5	GO:0006879
Q13190	GO:0006888
Q13190	GO:0006906
P31941	GO:0051607
P31941	GO:0045087
O75381	GO:0032091
Q9NWU2	GO:0090263
Q96BY2	GO:0097190
P61225	GO:0030336
A6PVI3	GO:0000398
Q13253	GO:0001649
Q13253	GO:0090090
Q13253	GO:0007399
P04216	GO:0050852
P04216	GO:0030336
P04216	GO:0007229
P04216	GO:0006469
P04216	GO:0001525
Q5VVH2	GO:0061077
Q16595	GO:0006879
Q16595	GO:0030307
Q9H8S5	GO:0000079
P47900	GO:0007200
Q13084	GO:0032543
P01584	GO:0051092
P01584	GO:0050830
P01584	GO:0000165
P01584	GO:0071222
P01584	GO:0006915
P01584	GO:0071260
P01584	GO:0008285
P01584	GO:0043406
P01584	GO:0032755
P01584	GO:0042102
P01584	GO:0032729
P01584	GO:1901224
P01584	GO:0050729
P01584	GO:0006954
P01584	GO:0045766
Q9H204	GO:0060261
Q6P1M0	GO:0043065
Q6P1M0	GO:0090630
O14639	GO:0060271
O14639	GO:0007601
P01850	GO:0050853
P01850	GO:0006958
P01850	GO:0006911
P01850	GO:0050871
P01850	GO:0006910
P01850	GO:0002250
P01850	GO:0045087
Q06945	GO:0008285
Q8WWB5	GO:0006364
Q8WWB5	GO:0050821
Q9P0U3	GO:0097190
Q9P0U3	GO:0006919
Q9NYL9	GO:0007015
Q9NYL9	GO:0006936
Q9UI40	GO:0071805
Q9UI40	GO:0035725
O15123	GO:0001525
Q8NCL8	GO:0007189
Q8NHH9	GO:0007030
Q96JP5	GO:0070534
P57739	GO:0070830
Q5JSQ8	GO:0006919
Q9BV40	GO:0006906
Q9UK33	GO:0032757
Q9UK33	GO:0010595
Q9UK33	GO:0001938
O75078	GO:0007229
P13056	GO:0000122
P51582	GO:0007200
P51582	GO:0007204
Q9NPD3	GO:0030307
P14866	GO:0000381
P62269	GO:0002181
Q12907	GO:0006888
Q12907	GO:0006890
Q12907	GO:0007030
Q96EL3	GO:0032543
Q9H2X8	GO:0097190
Q9H2X8	GO:0006915
Q01628	GO:0045071
Q01628	GO:0051607
Q9Y6Y9	GO:0006968
Q9Y6Y9	GO:0045087
Q8NBT0	GO:0060271
P01106	GO:0000165
P01106	GO:0006879
P01106	GO:0071456
P01106	GO:0000122
P01106	GO:1902895
Q86SS6	GO:0071277
Q86VE9	GO:0051607
Q96M11	GO:0060271
P24752	GO:0006635
Q96HU8	GO:0043406
P20800	GO:0019722
P20800	GO:0007204
Q9UH77	GO:0070936
P36873	GO:0000165
P36873	GO:0006470
Q9Y473	GO:0000122
P01135	GO:0043406
P10909	GO:0051092
P10909	GO:0031334
P10909	GO:0032760
P10909	GO:0032436
P01588	GO:0000122
P01588	GO:0042531
Q5SXM8	GO:0050821
P05111	GO:0010862
P05111	GO:0045786
P05111	GO:0060395
P62877	GO:0031146
P62877	GO:0032436
P62877	GO:0090090
Q9BRK4	GO:0090090
Q99819	GO:0007266
Q6UX46	GO:0070374
P20794	GO:0060271
P20794	GO:0007283
O75380	GO:0006120
O75380	GO:0042776
Q9UNL4	GO:0008285
Q9UNL4	GO:0043966
Q9UNL4	GO:0043065
Q9UNL4	GO:0006260
Q9HD26	GO:0006888
P09382	GO:0098609
P09382	GO:0043123
P09382	GO:0050729
Q5ZPR3	GO:0042102
Q5ZPR3	GO:0050852
Q5ZPR3	GO:0032729
Q5ZPR3	GO:0042110
P48729	GO:0090090
P48729	GO:0032436
P48729	GO:0018105
P48426	GO:0046854
Q13323	GO:0008584
Q13323	GO:0031334
Q13323	GO:0006915
P43353	GO:0034599
O15541	GO:0000398
Q969G6	GO:0006915
Q99081	GO:0007517
Q86WV1	GO:0050852
P48444	GO:0006888
Q9NU63	GO:0000122
Q6PIU1	GO:0071805
P08571	GO:0071222
P08571	GO:0006915
P08571	GO:0032760
P08571	GO:0032757
P08571	GO:0032729
P08571	GO:1901224
P08571	GO:0006954
Q96NT5	GO:0006879
P27449	GO:0016241
P27449	GO:1902600
Q9NYG5	GO:0000278
P04264	GO:0045109
Q9UK41	GO:0090148
Q9UK41	GO:0016236
Q9UK41	GO:0036258
Q13614	GO:0006470
Q8NBI6	GO:0016266
Q8N1N4	GO:0045109
Q2TAL5	GO:0030036
Q9ULX3	GO:0006364
Q96BR1	GO:0018105
Q8WV44	GO:0071222
Q8WV44	GO:0051607
Q8WV44	GO:0006513
Q9GZX7	GO:0051607
Q00587	GO:0007266
Q00587	GO:0008360
Q9P1Z3	GO:0071805
Q9P1Z3	GO:0042391
Q9Y3B7	GO:0032543
P35080	GO:0050821
P35080	GO:0033138
P37023	GO:0030336
P37023	GO:0006275
P37023	GO:0007179
P37023	GO:0008285
P37023	GO:0030308
P37023	GO:0030509
P37023	GO:0007507
P37023	GO:0001525
O15379	GO:0000122
Q9UKA8	GO:0019722
P10145	GO:0071356
P10145	GO:0071222
P10145	GO:0019722
P10145	GO:0008285
P10145	GO:0061844
P10145	GO:0006954
P10145	GO:0071347
P10145	GO:0001525
P20138	GO:0008285
P20138	GO:0032720
P50914	GO:0002181
P50914	GO:0042273
P50914	GO:0006364
P41002	GO:0031146
P41002	GO:0000079
Q8TE67	GO:0007266
Q99929	GO:0000122
O43559	GO:0007169
O95057	GO:0043406
Q9NR30	GO:0001649
Q9NR30	GO:0006366
O60749	GO:0042147
P0C1Z6	GO:0006275
P0C1Z6	GO:0043065
Q9UNH7	GO:0016241
Q9UNH7	GO:0043524
Q9UNH7	GO:0042147
Q9UNH7	GO:0030512
O00626	GO:0071346
O00626	GO:0070374
O00626	GO:0006954
O00626	GO:0071347
P19526	GO:0010595
P19526	GO:0005975
Q8N104	GO:0045087
Q5TA31	GO:0051865
Q5TA31	GO:0045087
Q5TA31	GO:0070936
O95390	GO:0060395
O95390	GO:0007399
Q8TED0	GO:0006364
Q5JPI3	GO:0043065
Q9BV47	GO:0006470
Q9BV47	GO:0000122
P60709	GO:2000045
P55040	GO:0000278
Q99884	GO:0035725
P61026	GO:0009306
P61026	GO:0072659
P06702	GO:0051092
P06702	GO:0061844
P06702	GO:0006919
P06702	GO:0050729
P06702	GO:0006954
O94817	GO:0016236
Q13643	GO:0030036
P42681	GO:0050852
P42681	GO:0046777
P42681	GO:0032729
P42681	GO:0007229
P42681	GO:0002250
Q969D9	GO:0042531
Q969D9	GO:0050729
P01834	GO:0050853
P01834	GO:0006958
P01834	GO:0050871
P01834	GO:0006910
P01834	GO:0002250
P09238	GO:0022617
P49279	GO:0006879
P52926	GO:0000122
Q13501	GO:0016236
Q13501	GO:0043065
Q13501	GO:0000422
P62312	GO:0000398
Q9UIW0	GO:0007417
Q02297	GO:0031334
Q02297	GO:0007399
Q8WVD5	GO:0051865
O95600	GO:0000122
Q9Y3C0	GO:0006887
Q96MH2	GO:0000122
P13501	GO:0071356
P13501	GO:0000165
P13501	GO:0042531
P13501	GO:0042102
P13501	GO:0006887
P13501	GO:0045071
P13501	GO:0071346
P13501	GO:0070374
P13501	GO:0006954
P13501	GO:0014068
P13501	GO:0071347
Q9H343	GO:0007608
Q8TDV5	GO:0007189
Q8N2U9	GO:0042147
Q9NSQ0	GO:0006364
Q53QZ3	GO:0051056
Q53QZ3	GO:0008360
P01236	GO:0016525
P01236	GO:1902895
Q9BW66	GO:0042273
O14682	GO:0017148
P78423	GO:0051092
P78423	GO:0071356
P78423	GO:0098609
P78423	GO:0030336
P78423	GO:0070098
P78423	GO:0070374
P78423	GO:0051897
Q969X0	GO:0060271
Q9UJV9	GO:0006915
Q9UJV9	GO:0000398
Q8N7C0	GO:0071805
Q9HCC6	GO:0009952
Q16518	GO:0007601
P30046	GO:0032760
P30046	GO:0070374
P30046	GO:0050729
Q9GZN7	GO:0007420
Q9UBS0	GO:0018105
P78371	GO:0061077
Q969F2	GO:0090090
Q969F2	GO:0072659
P43116	GO:0007204
Q6PKX4	GO:0007169
Q8N4C7	GO:0006887
Q8N4C7	GO:0006906
Q9NY25	GO:0006968
Q9NY25	GO:0045087
Q8IZU9	GO:0098609
Q9H1E1	GO:0050829
Q9H1E1	GO:0061844
Q9H1E1	GO:0050830
Q9H1E1	GO:0045087
Q03989	GO:0000122
Q9H4E7	GO:0051056
P35222	GO:0008285
P35222	GO:0060070
P35222	GO:0043065
P35222	GO:0098609
Q4G0J3	GO:0000122
O76093	GO:0045766
O76093	GO:0043406
Q9NS68	GO:0046330
Q9NS68	GO:0043123
Q9NS68	GO:0006915
Q9H112	GO:0050829
Q8WYA6	GO:0043065
Q8WYA6	GO:0000398
Q9UIL4	GO:0007018
P56704	GO:0090263
P56704	GO:0033138
P56704	GO:0060070
P01859	GO:0006958
P01859	GO:0006911
P01859	GO:0050871
P01859	GO:0006910
P01859	GO:0002250
P31146	GO:0007015
P31146	GO:0030036
Q9ULW0	GO:0000278
Q8IYB8	GO:0030307
Q14938	GO:0006366
Q14938	GO:0000122
Q93038	GO:0006915
P16435	GO:0006805
Q05682	GO:0001525
Q9Y282	GO:0006888
Q9Y282	GO:0006890
Q14653	GO:0006915
Q9UJT0	GO:0000278
Q15822	GO:0007268
Q15822	GO:0042391
Q8IV04	GO:0042147
Q8IV04	GO:0090630
Q9NZQ9	GO:0007015
Q9NZQ9	GO:0006936
Q04741	GO:0007420
Q04741	GO:0007417
P49427	GO:0000082
P49427	GO:0070936
P01270	GO:0007189
P28906	GO:0007160
P28906	GO:0098609
P28906	GO:0045766
Q9NPF7	GO:0042531
Q9NPF7	GO:0032760
Q9NPF7	GO:0032729
Q9NPF7	GO:1901224
Q9NPF7	GO:0050729
Q9BYZ6	GO:0007015
Q9BYZ6	GO:0008360
A1A4Y4	GO:0071222
A1A4Y4	GO:0033138
A1A4Y4	GO:0050829
A1A4Y4	GO:0050821
A1A4Y4	GO:0045087
Q5TAT6	GO:0007160
Q9Y217	GO:0006470
O15062	GO:0000122
Q99497	GO:0032091
Q99497	GO:0032757
Q99497	GO:0033138
Q99497	GO:0043524
Q99497	GO:0050821
Q99497	GO:0006469
Q99497	GO:0051897
O96015	GO:0007018
Q9P015	GO:0032543
P35612	GO:0030036
Q86Y82	GO:0006906
Q86Y82	GO:0050821
Q9BVV7	GO:0032981
P62714	GO:0006470
P62714	GO:0032088
Q8WU90	GO:0002181
Q9UN79	GO:0090090
Q9UN79	GO:0000122
Q92837	GO:0060070
Q92837	GO:0090263
Q5JVL4	GO:0000281
Q5GAN3	GO:0050830
O43365	GO:0009952
O43365	GO:0001525
Q9NRH3	GO:0000278
Q9BSY9	GO:0016579
Q96DF8	GO:0000398
P31641	GO:0035725
O95863	GO:0001649
O95863	GO:0000122
Q9C009	GO:0043524
Q7Z7M8	GO:0016266
Q12931	GO:0061077
P62266	GO:0002181
P49137	GO:0000165
P49137	GO:0046777
P49137	GO:0018105
Q9H0Y0	GO:0016236
O60667	GO:0006968
Q96CN4	GO:0090630
Q96BN6	GO:0060271
A8MU46	GO:0030036
O14492	GO:0050853
Q8NEP9	GO:0000122
Q8N7M0	GO:0007018
P09683	GO:0007420
P48788	GO:0006936
Q7KZI7	GO:0018105
Q7KZI7	GO:0000422
O43294	GO:0008285
O43294	GO:0030512
Q6P280	GO:0000122
O95866	GO:0007229
Q9Y673	GO:0006487
Q9UIC8	GO:0000086
Q8TAI7	GO:0051092
Q9NWV8	GO:0006282
Q8IZ57	GO:0007399
P43489	GO:0006954
A8K0Z3	GO:0022617
A8K0Z3	GO:0006887
A8K0Z3	GO:0042147
Q96QK1	GO:0050728
Q96QK1	GO:0016241
Q96QK1	GO:0042147
P34820	GO:0010862
P34820	GO:0060395
P34820	GO:0030509
O00472	GO:0032968
Q7Z5L9	GO:0000122
Q9H607	GO:0070830
A0A0C4DH29	GO:0050853
A0A0C4DH29	GO:0006958
A0A0C4DH29	GO:0006911
A0A0C4DH29	GO:0050871
A0A0C4DH29	GO:0006910
A0A0C4DH29	GO:0045087
Q16555	GO:0006897
Q16555	GO:0007399
Q9UBB5	GO:0000122
Q9UBB5	GO:0016575
O15258	GO:0006890
P08912	GO:0007268
P08912	GO:0007187
Q06141	GO:0061844
Q95460	GO:0050829
Q95460	GO:0050830
Q8NFG4	GO:0010508
Q6P597	GO:0007018
Q9H4P4	GO:0008285
Q9H4P4	GO:0030336
Q9H4P4	GO:0051865
Q9UHD9	GO:0030433
Q9UHD9	GO:0016241
P42330	GO:0008584
P42330	GO:0051897
P42330	GO:0071277
Q6UW88	GO:0043406
Q6UW88	GO:0001525
O75293	GO:0046330
O75293	GO:0043065
Q16570	GO:0006954
P61964	GO:0043966
Q7RTV0	GO:0000398
Q9BYD2	GO:0032543
Q9BWF3	GO:0000381
Q9BWF3	GO:0000398
Q9BWF3	GO:0017148
O95391	GO:0000398
O94760	GO:0008285
P49711	GO:0008285
P49711	GO:0000122
A8MTZ0	GO:0060271
Q9UGP4	GO:0008360
Q8N302	GO:0045766
Q8N302	GO:0001938
O14926	GO:0007601
P40855	GO:0061077
P60510	GO:0000724
P07492	GO:0007218
Q99880	GO:0006334
P30825	GO:0042102
Q7Z7C8	GO:0060261
Q7Z7C8	GO:0006367
Q7Z7C8	GO:0051123
P48742	GO:0007399
Q96IZ7	GO:0000398
Q8TBQ9	GO:0009306
O95816	GO:0050821
O95816	GO:0032091
Q08426	GO:0006635
P46695	GO:0006915
P05112	GO:0050728
P05112	GO:0042531
Q13618	GO:0006513
Q13618	GO:0031398
Q13618	GO:0070936
Q13618	GO:0006888
Q13618	GO:0007080
Q13618	GO:0000082
Q9H9A7	GO:0000724
Q9BQQ7	GO:0006612
P15814	GO:0050853
P15814	GO:0006958
P15814	GO:0006911
P15814	GO:0050871
P15814	GO:0006910
P15814	GO:0045087
Q8NA29	GO:0007420
P08708	GO:0002181
P08708	GO:0006364
P51398	GO:0097190
P51398	GO:0032543
Q96CU9	GO:0032981
P60763	GO:0007015
P60763	GO:0008360
P02511	GO:0006936
P02511	GO:0050821
P62875	GO:0006366
Q9NY64	GO:0005975
Q7LDG7	GO:0071277
Q92870	GO:0000122
O00743	GO:0000082
Q9Y5J6	GO:0007160
Q00169	GO:0007601
P29459	GO:0050830
P29459	GO:0042531
P24462	GO:0006805
P15692	GO:0031334
P15692	GO:0071456
P15692	GO:0043154
P15692	GO:0043406
P15692	GO:0008360
P15692	GO:0000122
P15692	GO:0001938
P15692	GO:0045766
P15692	GO:0001525
P15692	GO:0007399
Q96LR5	GO:0070534
Q96LR5	GO:0070936
Q1A5X7	GO:0006888
O60487	GO:0098609
P80511	GO:0051092
P80511	GO:0043406
P80511	GO:0043123
P80511	GO:0061844
P80511	GO:0050729
P80511	GO:0006805
P80511	GO:0045087
P42224	GO:0071346
P42224	GO:0051607
Q9Y3V2	GO:0032088
O75879	GO:0032543
O60729	GO:0060271
O60729	GO:0006470
Q96DZ5	GO:0043065
Q9Y6W5	GO:0030036
Q12846	GO:0006887
Q12846	GO:0034599
Q12846	GO:0006906
O15552	GO:0032757
Q9Y639	GO:0007411
Q9P0K8	GO:0016525
Q5TGS1	GO:0009952
Q96JY0	GO:0007283
Q5MNZ9	GO:0000422
O96019	GO:0006275
O96019	GO:0007399
Q9C075	GO:0045109
Q9Y547	GO:0060271
P18847	GO:0000122
O43511	GO:0007605
P41218	GO:0043065
P41218	GO:0050853
P41218	GO:0006968
P41218	GO:0032731
Q9H5K3	GO:0007420
Q96KR7	GO:0030036
P43003	GO:0071805
P43003	GO:0007268
P20309	GO:0007187
P20309	GO:0007399
P20309	GO:0019722
P35372	GO:0008285
P50219	GO:0007417
Q16795	GO:0032981
Q6ZWJ1	GO:0050821
Q9NS98	GO:0007411
Q6UX82	GO:0050829
Q6XPS3	GO:0008285
Q13325	GO:0043123
Q13325	GO:0045071
P21291	GO:0030036
P20160	GO:0050829
P20160	GO:0006954
P20160	GO:0032760
P20160	GO:0032731
O15296	GO:0008285
O15296	GO:0030336
O15296	GO:0006915
Q12824	GO:2000045
Q16611	GO:0031334
Q16611	GO:0006915
Q16611	GO:0071260
Q16611	GO:0097190
Q16611	GO:0043065
P31151	GO:0061844
P31151	GO:0070374
P31151	GO:0008544
P31151	GO:0001525
P07951	GO:0007015
Q9Y616	GO:0051092
Q9Y616	GO:0032720
Q9Y616	GO:0032088
Q9NQT5	GO:0006364
P34130	GO:0007169
P34130	GO:0043524
P47972	GO:0007268
A6NIH7	GO:0060271
P13500	GO:0000165
P13500	GO:0071356
P13500	GO:0070098
P13500	GO:0007187
P13500	GO:0043524
P13500	GO:0071346
P13500	GO:0070374
P13500	GO:0008360
P13500	GO:0071347
P13500	GO:0001525
P30939	GO:0007268
P30939	GO:0007187
P05386	GO:0002181
P55273	GO:0000079
P55273	GO:0030308
P55273	GO:2000045
Q6W5P4	GO:0007218
Q9HB21	GO:0050853
P15121	GO:0005975
Q99963	GO:0007417
Q6UXG8	GO:0050852
P41182	GO:0043065
P41182	GO:0030308
P41182	GO:0000122
Q9NPH5	GO:0006954
P08779	GO:0030855
P08779	GO:0030336
P08779	GO:0045109
Q99661	GO:0007080
Q7L0Q8	GO:0006897
Q7L0Q8	GO:0051056
Q7L0Q8	GO:0030036
Q7L0Q8	GO:0008360
Q9Y6J9	GO:0006282
Q9Y6J9	GO:0051123
Q9Y6J9	GO:0043966
P12931	GO:0051897
P12931	GO:0043154
P12931	GO:0046777
P12931	GO:0007169
P12931	GO:0016236
P12931	GO:0007229
O15444	GO:0071346
O15444	GO:0070374
O15444	GO:0006954
O15444	GO:0071347
Q8N187	GO:0071277
Q14814	GO:0007517
Q9UL17	GO:0000122
Q04724	GO:0090090
Q86YI8	GO:0000278
Q16828	GO:0000165
Q16828	GO:0043065
Q9BZR8	GO:0006915
O00429	GO:0043065
Q9NWU5	GO:0032543
A8MUZ8	GO:0000122
Q9Y5X9	GO:0042632
Q9NR28	GO:0006915
P56556	GO:0006120
P56556	GO:0032981
P56556	GO:0042776
Q5XUX0	GO:0031146
Q96DV4	GO:0032543
Q5T5M9	GO:0000079
P09210	GO:0030855
P09210	GO:0006805
O76015	GO:0030855
O76015	GO:0045109
P21980	GO:0043065
P21980	GO:0007200
O43731	GO:0006888
O43731	GO:0006890
P26599	GO:0000381
O60687	GO:0098609
P78352	GO:0098609
P78352	GO:0007268
P78352	GO:0007399
Q8NHY5	GO:0000724
Q96BS2	GO:0050821
Q96BS2	GO:0072659
P13667	GO:0009306
Q9NRW4	GO:0030336
P20337	GO:0009306
P20337	GO:0072659
O95970	GO:0030307
O95970	GO:0007411
O95970	GO:0007399
Q9NXW2	GO:0030433
Q96PP9	GO:0050830
Q96PP9	GO:0071346
Q69YI7	GO:0030308
Q9H4E5	GO:0030036
Q96R09	GO:0007608
Q8IVL6	GO:0008285
P82914	GO:0032543
Q01629	GO:0045071
Q01629	GO:0051607
Q92747	GO:0030036
A0A0G2JMI3	GO:0006958
A0A0G2JMI3	GO:0006911
A0A0G2JMI3	GO:0050871
A0A0G2JMI3	GO:0006910
A0A0G2JMI3	GO:0045087
Q9H0Z9	GO:0000381
P50591	GO:0043065
O75467	GO:0000082
O95716	GO:0009306
O95716	GO:0072659
O94766	GO:0005975
P0DML2	GO:0042531
Q9BXM7	GO:0034599
Q9BXM7	GO:0071456
Q9BXM7	GO:0033138
Q9BXM7	GO:0018105
Q9BXM7	GO:0000422
Q9BXM7	GO:0043524
Q9BXM7	GO:0051897
Q99583	GO:0006366
Q99583	GO:0000122
Q6PCB8	GO:0007411
Q9NY27	GO:0006470
Q15835	GO:0046777
P09525	GO:0030855
P09525	GO:0032088
Q7L8C5	GO:0006906
Q7L8C5	GO:0071277
Q96KB5	GO:0000278
Q96KB5	GO:0018105
Q92851	GO:0006919
Q92851	GO:0043123
Q92851	GO:0006915
Q9ULR3	GO:0006470
P62318	GO:0000398
P41217	GO:0032088
P60323	GO:0017148
Q05513	GO:0070374
Q05513	GO:0018105
Q13432	GO:0000281
Q13432	GO:0007268
Q13432	GO:0007399
Q92934	GO:0010508
Q92934	GO:0006915
Q92934	GO:0043065
P01112	GO:0000165
P01112	GO:0008285
P01112	GO:0046330
P01112	GO:0043406
P01112	GO:0070374
P01112	GO:0090398
Q71RG4	GO:0030433
P16473	GO:0007189
P16473	GO:0007187
Q15743	GO:0006954
O95279	GO:0071805
O14579	GO:0006888
O43181	GO:0006120
O43181	GO:0032981
O43181	GO:0042776
O43181	GO:0007420
O75558	GO:0006887
O75558	GO:0006906
Q9UHA3	GO:0042273
P37231	GO:0006919
P37231	GO:0050728
P37231	GO:0016525
P37231	GO:1902895
P37231	GO:0030512
P25103	GO:0007200
P25103	GO:0007204
Q9NSI5	GO:0098609
P52797	GO:0016525
P52797	GO:0007411
Q92952	GO:0007268
Q13144	GO:0050852
Q15699	GO:0000122
Q6PI26	GO:0043065
Q9NYG2	GO:0072659
O95267	GO:0046330
O95267	GO:0043406
O95267	GO:0032760
O95267	GO:0042110
O95267	GO:0090630
O95267	GO:0032729
Q96EQ0	GO:0030433
Q9BQJ4	GO:0098609
P52815	GO:0032543
P04271	GO:0043123
P04271	GO:0007417
Q8N3R9	GO:0072659
P24539	GO:0021762
P24539	GO:0042776
Q9Y3Z3	GO:0000724
Q9Y3Z3	GO:0051607
O00744	GO:0043065
O00744	GO:0060070
Q9HCD5	GO:0000122
Q9Y6G9	GO:0007018
A1E959	GO:0006954
Q99437	GO:0016241
Q99437	GO:1902600
Q9UHF1	GO:0001938
P08138	GO:1902895
P08138	GO:0030336
P08138	GO:0007266
P08138	GO:0006919
Q96KV6	GO:0050852
Q6ZPB5	GO:0071456
P22003	GO:0060395
P22003	GO:0008285
P22003	GO:0010862
P07099	GO:0006805
O00463	GO:0043123
O00463	GO:0051092
Q8WWF6	GO:0061077
Q2M3X9	GO:0000122
P48029	GO:0006936
P48029	GO:0035725
